architecture,thread,terminal_class,condition,n_trials,successes,success_rate,success_rate_ci_lower,success_rate_ci_upper,structural_incapacity_rate
ContactAware,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,NOMINAL,300,1,0.0033333333333333335,0.0005886425761407379,0.018637164554943353,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,300,1,0.0033333333333333335,0.0005886425761407379,0.018637164554943353,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,0.0
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,4,0.013333333333333334,0.005196877684679467,0.03377606084644991,0.0
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,7,0.023333333333333334,0.01134751559829571,0.04737255433287896,0.0
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,300,2,0.006666666666666667,0.0018301100329710784,0.023978074231461442,0.0
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,300,6,0.02,0.009197506067771085,0.042940186730055147,0.0
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,300,5,0.016666666666666666,0.0071393720427721935,0.038415943621705605,0.0
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,6,0.02,0.009197506067771085,0.042940186730055147,0.0
